Order,PathIDs,Weight_of_path,Quarter,Route
0,14.0,1148432.6,2019-Q1,Bay_Ridge_to_Sheepshead_Bay
1,227.0,1148432.6,2019-Q1,Bay_Ridge_to_Sheepshead_Bay
2,26.0,1148432.6,2019-Q1,Bay_Ridge_to_Sheepshead_Bay
3,89.0,1148432.6,2019-Q1,Bay_Ridge_to_Sheepshead_Bay
4,188.0,1148432.6,2019-Q1,Bay_Ridge_to_Sheepshead_Bay
5,71.0,1148432.6,2019-Q1,Bay_Ridge_to_Sheepshead_Bay
6,72.0,1148432.6,2019-Q1,Bay_Ridge_to_Sheepshead_Bay
7,91.0,1148432.6,2019-Q1,Bay_Ridge_to_Sheepshead_Bay
8,149.0,1148432.6,2019-Q1,Bay_Ridge_to_Sheepshead_Bay
9,210.0,1148432.6,2019-Q1,Bay_Ridge_to_Sheepshead_Bay
0,14.0,1828507.7000000002,2019-Q2,Bay_Ridge_to_Sheepshead_Bay
1,227.0,1828507.7000000002,2019-Q2,Bay_Ridge_to_Sheepshead_Bay
2,26.0,1828507.7000000002,2019-Q2,Bay_Ridge_to_Sheepshead_Bay
3,89.0,1828507.7000000002,2019-Q2,Bay_Ridge_to_Sheepshead_Bay
4,188.0,1828507.7000000002,2019-Q2,Bay_Ridge_to_Sheepshead_Bay
5,71.0,1828507.7000000002,2019-Q2,Bay_Ridge_to_Sheepshead_Bay
6,72.0,1828507.7000000002,2019-Q2,Bay_Ridge_to_Sheepshead_Bay
7,91.0,1828507.7000000002,2019-Q2,Bay_Ridge_to_Sheepshead_Bay
8,149.0,1828507.7000000002,2019-Q2,Bay_Ridge_to_Sheepshead_Bay
9,210.0,1828507.7000000002,2019-Q2,Bay_Ridge_to_Sheepshead_Bay
0,14.0,1580299.2799999998,2019-Q3,Bay_Ridge_to_Sheepshead_Bay
1,227.0,1580299.2799999998,2019-Q3,Bay_Ridge_to_Sheepshead_Bay
2,26.0,1580299.2799999998,2019-Q3,Bay_Ridge_to_Sheepshead_Bay
3,89.0,1580299.2799999998,2019-Q3,Bay_Ridge_to_Sheepshead_Bay
